title;category_0;category_1;price;weight;color;country
Экран для радиатора Лотос 60х120 см цвет вишня;Декоративные элементы для дома;Столярные изделия;826;1.8;Вишня;Россия
Профиль МДФ рамочный Серый 16х55х2070 мм;Декоративные панели ПВХ и МДФ;Столярные изделия;248;1.21;Серый;Россия
Экран для радиатора Цветы 60х60 см, цвет дуб серый;Декоративные элементы для дома;Столярные изделия;968;10.55;Дуб серый;Россия
Профиль МДФ рамочный Вишня 16х55х2070 мм;Декоративные панели ПВХ и МДФ;Столярные изделия;248;1.25;Вишня;Россия
Экран для радиатора 60х120 см, ПВХ, цвет венге;Декоративные элементы для дома;Столярные изделия;407;2.12;Венге;Россия
Профиль МДФ рамочный Бук 16х55х2070 мм;Декоративные панели ПВХ и МДФ;Столярные изделия;248;1.27;Бук;Россия
Панель Grezzo India 60x122 см без отделки;Декоративные элементы для дома;Столярные изделия;732;1.025;;Россия
Экран для радиатора Дамаско 60х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;474;1.58;Сонома;Россия
Экран для радиатора Готико 120х60 см, цвет венге;Декоративные элементы для дома;Столярные изделия;675;3.16;Венге;Россия
Экран для радиатора 60х90 см, ПВХ, цвет дуб сонома;Декоративные элементы для дома;Столярные изделия;302;1.5;Дуб сонома;Россия
Ручка дверная малая, 35х26х250 мм, осина;Дверные ручки;Скобяные изделия;93;0.093;Бесцветный / прозрачный, Разноцветный, Белый;Россия
Экран для радиатора 60х90 см, ПВХ, цвет венге;Декоративные элементы для дома;Столярные изделия;293;1.52;Венге;Россия
Экран для радиатора Готико 120х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;675;2.45;Сонома;Россия
Экран для радиатора Готико 120х60 см, цвет дуб серый;Декоративные элементы для дома;Столярные изделия;675;2.56;Дуб серый;Россия
Короб декоративный для радиатора Глория 60х90 см цвет вишня;Декоративные элементы для дома;Столярные изделия;1 757;5.2;Вишня;Россия
Экран для радиатора Сусанна 120х60 см, цвет венге;Декоративные элементы для дома;Столярные изделия;675;2.468;Венге;Россия
Экран для радиатора Дамаско 60х60 см, цвет дуб серый;Декоративные элементы для дома;Столярные изделия;474;1.595;Дуб серый;Россия
Короб декоративный для радиатора Верон 60х90 см цвет венге;Декоративные элементы для дома;Столярные изделия;1 757;4.5;Венге;Россия
Экран для радиатора Готико 90х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;570;2;Сонома;Россия
Экран для радиатора Готико 60х60 см, цвет белый;Декоративные элементы для дома;Столярные изделия;474;1.58;Белый;Россия
Экран для радиатора Цветы 120х60 см, цвет венге;Декоративные элементы для дома;Столярные изделия;1 177;3.31;Венге;Россия
Короб декоративный для радиатора Глория 60х120 см цвет пепельный;Декоративные элементы для дома;Столярные изделия;1 911;5.52;Пепельный;Россия
Экран для радиатора Готико 90х60 см, цвет венге;Декоративные элементы для дома;Столярные изделия;570;1.99;Венге;Россия
Экран для радиатора Готико 60х60 см, цвет дуб серый;Декоративные элементы для дома;Столярные изделия;474;1.58;Дуб серый;Россия
Экран для радиатора Готико 60х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;474;1.58;Сонома;Россия
Экран для радиатора 60х60 см, ПВХ, цвет венге;Декоративные элементы для дома;Столярные изделия;186;1.05;Венге;Россия
Экран для радиатора Сусанна 60х60 см, цвет венге;Декоративные элементы для дома;Столярные изделия;474;1.412;Венге;Россия
Экран для радиатора 60х60 см, ПВХ, цвет дуб сонома;Декоративные элементы для дома;Столярные изделия;186;1.06;Дуб сонома;Россия
Экран для радиатора Сусанна 90х60 см, цвет венге;Декоративные элементы для дома;Столярные изделия;570;2.01;Венге;Россия
Планка стыковая 600х30 мм цвет дуб светлый;Декоративные элементы для дома;Столярные изделия;378;0.46;Дуб светлый;Россия
Экран для радиатора Готико 60х60 см, цвет венге;Декоративные элементы для дома;Столярные изделия;474;1.4;Венге;Россия
Экран для радиатора 60х60 см, ПВХ, цвет серый ясень;Декоративные элементы для дома;Столярные изделия;186;1.06;Серый ясень;Россия
Экран для радиатора Массив 120х60 см, цвет бук;Декоративные элементы для дома;Столярные изделия;3 385;2.205;Бук;Россия
Короб декоративный для радиатора Глория 60х120 см цвет орех;Декоративные элементы для дома;Столярные изделия;1 911;5.7;Орех;Россия
Планка стыковая 600х30 мм цвет анегри;Декоративные элементы для дома;Столярные изделия;378;0.465;Анегри;Россия
Планка стыковая 600х30 мм цвет орех экко;Декоративные элементы для дома;Столярные изделия;378;0.4;Орех экко;Россия
Экран для радиатора Лотос 60х120 см цвет клён;Декоративные элементы для дома;Столярные изделия;826;1.77;Клен;Россия
Короб декоративный для радиатора Глория 60х90 см цвет бук;Декоративные элементы для дома;Столярные изделия;1 757;4.5;Бук;Россия
Короб декоративный для радиатора Верон 60х120 см цвет венге;Декоративные элементы для дома;Столярные изделия;1 911;5.7;Венге;Россия
Дверная ручка Нора-М РСО-50 мм (ст.медь);Декоративные элементы для дома;Столярные изделия;86;0.0;;Китай
Дверная ручка-скоба Нора-М 6792;Декоративные элементы для дома;Столярные изделия;78;0.0;Хром;Китай
Дверная ручка Нора-М РСО-50 мм (золото);Декоративные элементы для дома;Столярные изделия;86;0.0;;Китай
Дверная ручка-скоба Нора-М 6767;Декоративные элементы для дома;Столярные изделия;121;0.1;Белый;Китай
Дверная ручка-скоба Нора-М 6773;Декоративные элементы для дома;Столярные изделия;121;0.1;Хром;Китай
Дверная ручка-скоба Нора-М 7545;Декоративные элементы для дома;Столярные изделия;121;0.1;Хром;Китай
Дверная ручка Нора-М РС-50 мм (золото);Декоративные элементы для дома;Столярные изделия;76;0.0;;Китай
Дверная ручка-скоба Нора-М 7554;Декоративные элементы для дома;Столярные изделия;103;0.1;Хром;Китай
Дверная ручка-скоба Нора-М 7544;Декоративные элементы для дома;Столярные изделия;124;0.1;Золото;Китай
Дверная ручка-скоба Нора-М 6781;Декоративные элементы для дома;Столярные изделия;93;0.0;Золото;Китай
Дверная ручка-скоба Нора-М 7553;Декоративные элементы для дома;Столярные изделия;100;0.1;Золото;Китай
Дверная ручка Нора-М РСО-80 мм (белая);Декоративные элементы для дома;Столярные изделия;100;0.1;;Китай
Дверная ручка Нора-М РС-50 мм (белая);Декоративные элементы для дома;Столярные изделия;76;0.0;;Китай
Экран для радиатора Массив 60х60 см, цвет бук;Декоративные элементы для дома;Столярные изделия;1 764;7.52;Бук;Россия
Боковины для экрана Массив, цвет бук;Декоративные элементы для дома;Столярные изделия;1 186;2.377;Бук;Россия
Крышка для экрана универсальная Массив 90 см, цвет бук;Декоративные элементы для дома;Столярные изделия;1 083;2.083;Бук;Россия
Экран для радиатора Массив 90х60 см, цвет бук;Декоративные элементы для дома;Столярные изделия;2 576;1.775;Бук;Россия
Крышка для экрана универсальная Массив 60 см, цвет бук;Декоративные элементы для дома;Столярные изделия;1 040;1.485;Бук;Россия
Крышка для экрана универсальная Массив 120 см, цвет бук;Декоративные элементы для дома;Столярные изделия;1 155;2.71;Бук;Россия
